trait_type,value,multiplier,rarity
Race,Blue Human,1,536.6666666666666
Race,None,1,0.0
Race,Blue Bear,1,805.0
Race,Blue Bull,1,1610.0
Race,Bear,1,11.666666666666666
Race,Horse,1,24.76923076923077
Race,Cat,1,6.909871244635193
Race,Ape,1,43.513513513513516
Race,Alien,1,805.0
Race,Shiba,1,4.938650306748467
Race,Bull,1,15.94059405940594
Race,Frog,1,161.0
Race,Human,1,2.3401162790697674
Race,Blue Alien,1,402.5
Background,Fluorescent Yellow,1,15.631067961165048
Background,Dark Green,1,15.18867924528302
Background,Party,1,41.282051282051285
Background,Sky Blue,1,14.375
Background,Maroon,1,14.636363636363637
Background,Sandy Sunset,1,53.666666666666664
Background,Baskeball Arena,1,50.3125
Background,None,1,0.0
Background,Red,1,15.046728971962617
Background,Outer Space,1,123.84615384615384
Background,Teal Blue,1,14.907407407407407
Background,Mountain Moonlight,1,94.70588235294117
Background,Tomb,1,89.44444444444444
Background,Fluorescent Orange,1,14.12280701754386
Background,Outer Space Explosion,1,201.25
Background,Retro,1,100.625
Background,Psychedelic Realm,1,43.513513513513516
Background,Urban Office,1,73.18181818181819
Background,Lime Green,1,16.94736842105263
Background,Mountain View,1,107.33333333333333
Background,Garden Park,1,47.35294117647059
Background,Swamp,1,55.51724137931034
Background,Cold Pink,1,14.636363636363637
Background,Purple,1,13.64406779661017
Background,Pastel Yellow,1,14.247787610619469
Background,Lilac,1,15.48076923076923
Left Item,Pocket Watch,1,23.03076923076923
Left Item,Pineapple,1,21.385714285714286
Left Item,Hook,1,31.1875
Left Item,Welding Torch,1,19.192307692307693
Left Item,Sparkler,1,28.245283018867923
Left Item,Crystal Ball,1,19.441558441558442
Left Item,Toy Gun,1,18.7125
Left Item,Menorah,1,33.266666666666666
Left Item,Potted Plant,1,40.45945945945946
Left Item,None,1,14.247787610619469
Left Item,Dog on a Leash,1,17.011363636363637
Left Item,Indestructable Phone,1,34.81395348837209
Left Item,Trident,1,16.820224719101123
Left Item,Boxing Glove,1,29.94
Left Item,Sword,1,17.406976744186046
Left Item,Torch,1,17.406976744186046
Left Item,Triple Spatula,1,18.48148148148148
Left Item,Spock,1,39.39473684210526
Left Item,Fishing Rod,1,19.441558441558442
Left Item,Telescope,1,31.851063829787233
Left Item,Surfboard,1,25.810344827586206
Left Item,Baloon,1,37.425
Left Item,White Flag,1,18.48148148148148
Left Item,Glass of Scotch,1,18.7125
Right Item,Pocket Watch,1,16.26086956521739
Right Item,Pineapple,1,22.0
Right Item,Hook,1,27.2
Right Item,Welding Torch,1,19.68421052631579
Right Item,Sparkler,1,31.829787234042552
Right Item,Crystal Ball,1,19.17948717948718
Right Item,Toy Gun,1,14.666666666666666
Right Item,Menorah,1,31.829787234042552
Right Item,Potted Plant,1,48.25806451612903
Right Item,None,1,14.12280701754386
Right Item,Dog on a Leash,1,20.493150684931507
Right Item,Indestructable Phone,1,49.86666666666667
Right Item,Trident,1,18.7
Right Item,Boxing Glove,1,17.0
Right Item,Sword,1,23.746031746031747
Right Item,Torch,1,21.070422535211268
Right Item,Triple Spatula,1,22.0
Right Item,Spock,1,30.53061224489796
Right Item,Fishing Rod,1,18.936708860759495
Right Item,Telescope,1,46.75
Right Item,Surfboard,1,20.77777777777778
Right Item,Baloon,1,34.7906976744186
Right Item,White Flag,1,19.946666666666665
Right Item,Glass of Scotch,1,19.428571428571427
Top,Longsleeve Shirt,1,14.247787610619469
Top,Football Jersey,1,13.879310344827585
Top,Astronaut Suit,1,19.876543209876544
Top,Topless,1,26.39344262295082
Top,Knight Armour,1,57.5
Top,None,1,0.0
Top,Track Suit Top,1,13.089430894308943
Top,Jacket,1,8.609625668449198
Top,Crop Top,1,18.295454545454547
Top,Hawaiian Shirt,1,13.19672131147541
Top,Suit,1,14.0
Top,Vest,1,9.757575757575758
Top,T-Shirt,1,7.5233644859813085
Top,Camo Shirt,1,14.0
Top,Santa Suit,1,19.634146341463413
Bottoms,Astronaut Suit,1,19.876543209876544
Bottoms,Knight Armour,1,57.5
Bottoms,None,1,0.0
Bottoms,Track Pants,1,8.090452261306533
Bottoms,Briefs,1,21.756756756756758
Bottoms,Dress Pants,1,6.1216730038022815
Bottoms,Jeans,1,3.6179775280898876
Bottoms,Cargo Pants,1,17.127659574468087
Bottoms,Shorts,1,4.509803921568627
Bottoms,Camo Pants,1,43.513513513513516
Bottoms,Santa Suit,1,50.3125
Puck,Indigo,1,10.254777070063694
Puck,Ice,1,32.857142857142854
Puck,None,1,0.0
Puck,Orange,1,11.5
Puck,Red,1,13.19672131147541
Puck,Tree Stump,1,31.568627450980394
Puck,Gray,1,10.454545454545455
Puck,Pile of Bones,1,46.0
Puck,Yellow,1,10.0625
Puck,Autumn Leaves,1,64.4
Puck,Volcanic Isle,1,43.513513513513516
Puck,Olympic Podium,1,46.0
Puck,Green,1,12.777777777777779
Puck,Radioactive Waste,1,38.333333333333336
Puck,Royal Blue,1,10.454545454545455
Puck,Black,1,9.877300613496933
Puck,Powder Blue,1,10.0625
Eyes,Dizzy,1,67.08333333333333
Eyes,K.O,1,15.94059405940594
Eyes,None,1,0.0
Eyes,Bloodshot,1,7.351598173515982
Eyes,Closed,1,3.8795180722891565
Eyes,Fantom,1,107.33333333333333
Eyes,Wink,1,25.15625
Eyes,Laser Eyes,1,64.4
Eyes,Hooded,1,6.007462686567164
Eyes,Cyclops,1,268.3333333333333
Eyes,Wide Open,1,3.4038054968287526
Eye Accessory,,1,2.4124809741248097
Eye Accessory,Third Eye,1,88.05555555555556
Eye Accessory,None,1,64.4
Eye Accessory,Hipster Glasses,1,6.604166666666667
Eye Accessory,Monocle,1,29.35185185185185
Eye Accessory,Eyepatch,1,10.16025641025641
Eye Accessory,3D Glasses,1,17.808988764044944
Eye Accessory,Eye Mask,1,13.208333333333334
Eye Accessory,Sunglasses,1,6.314741035856573
Mouth,Neutral,1,6.939655172413793
Mouth,Toothy Smirk,1,16.5979381443299
Mouth,Diamond Grillz,1,201.25
Mouth,None,1,0.0
Mouth,Bubblegum,1,9.470588235294118
Mouth,Smile,1,16.428571428571427
Mouth,Frown,1,13.879310344827585
Mouth,Braces,1,17.127659574468087
Mouth,Gold Tooth,1,30.96153846153846
Mouth,Grin,1,15.631067961165048
Mouth,Tongue Out,1,4.484679665738161
Mouth,Drooling,1,11.751824817518248
Mouth,Golden Grillz,1,146.36363636363637
Mouth,Wide Open,1,13.529411764705882
Mouth,Rainbow Grillz,1,115.0
Neck Accessory,None,1,2.0483460559796436
Neck Accessory,Tie,1,6.809917355371901
Neck Accessory,Flower Garland,1,5.35064935064935
Neck Accessory,Fur Wrap,1,6.103703703703704
Neck Accessory,Fantom Chain,1,5.5675675675675675
Neck Accessory,Bowtie,1,5.248407643312102
Neck Accessory,Gold Medal,1,7.559633027522936
Hat,Unicorn,1,23.24
Hat,Top Hat,1,20.03448275862069
Hat,Party Hat,1,13.833333333333334
Hat,Baseball Cap,1,13.833333333333334
Hat,Tinfoil Hat,1,22.346153846153847
Hat,None,1,3.59375
Hat,Halo,1,19.366666666666667
Hat,Hard Hat,1,15.702702702702704
Hat,Horns,1,17.08823529411765
Hat,Crown,1,26.40909090909091
Hat,Trapper Hat,1,19.694915254237287
Hat,Fez,1,19.049180327868854
Hat,Helicopter,1,14.897435897435898
Hat,Beanie,1,12.494623655913978
Hat,Wizard Hat,1,19.694915254237287
Hat,Bandana,1,20.385964912280702
Hat,Turban,1,25.822222222222223
Hat,Pirate Hat,1,15.702702702702704
Hat,Bunny Ears,1,18.741935483870968
Ear Accessory,Airpods,1,15.11320754716981
Ear Accessory,Diamond Studs (Pair),1,53.4
Ear Accessory,Gold Stud,1,8.173469387755102
Ear Accessory,None,1,1.9901112484548826
Ear Accessory,Gold Hoops (Pair),1,160.2
Ear Accessory,Silver Hoops (Pair),1,57.214285714285715
Ear Accessory,Gold Studs (Pair),1,160.2
