name,attributes,image,rarity score,token id,rank
Bobblehead #14,"[{'value': 'Blue Bull', 'trait_type': 'Race'}, {'value': 'Swamp', 'trait_type': 'Background'}, {'value': 'Sword', 'trait_type': 'Left Item'}, {'value': 'Sword', 'trait_type': 'Right Item'}, {'value': 'Longsleeve Shirt', 'trait_type': 'Top'}, {'value': 'Track Pants', 'trait_type': 'Bottoms'}, {'value': 'Orange', 'trait_type': 'Puck'}, {'value': 'Hooded', 'trait_type': 'Eyes'}, {'value': '', 'trait_type': 'Eye Accessory'}, {'value': 'Smile', 'trait_type': 'Mouth'}, {'value': 'Fur Wrap', 'trait_type': 'Neck Accessory'}, {'trait_type': 'Hat', 'value': 'None'}, {'trait_type': 'Ear Accessory', 'value': 'None'}, {'trait_type': 'Hair', 'value': 'None'}]",https://incepthink.mypinata.cloud/ipfs/QmUDRJ8Hkv8hyXQu2SCusmHqTmPJq6UunFGy4zo4qm2cr2,1787.3963253224226,14,1
Bobblehead #9019,"[{'value': 'Alien', 'trait_type': 'Race'}, {'value': 'Cold Pink', 'trait_type': 'Background'}, {'value': 'Trident', 'trait_type': 'Left Item'}, {'value': 'Crystal Ball', 'trait_type': 'Right Item'}, {'value': 'Jacket', 'trait_type': 'Top'}, {'value': 'Camo Pants', 'trait_type': 'Bottoms'}, {'value': 'Black', 'trait_type': 'Puck'}, {'value': 'Hooded', 'trait_type': 'Eyes'}, {'value': 'Eyepatch', 'trait_type': 'Eye Accessory'}, {'value': 'Grin', 'trait_type': 'Mouth'}, {'value': 'Silver Hoop', 'trait_type': 'Ear Accessory'}, {'trait_type': 'Neck Accessory', 'value': 'None'}, {'trait_type': 'Hat', 'value': 'None'}, {'trait_type': 'Hair', 'value': 'None'}]",https://incepthink.mypinata.cloud/ipfs/QmdR5AZRe6xKtvBqpzRnJfZeNcdmrU3ALRgqUkpLWdrHdm,968.4293097875192,9019,2
Bobblehead #39,"[{'value': 'Blue Bear', 'trait_type': 'Race'}, {'value': 'Red', 'trait_type': 'Background'}, {'value': 'Toy Gun', 'trait_type': 'Left Item'}, {'value': 'Triple Spatula', 'trait_type': 'Right Item'}, {'value': 'Hawaiian Shirt', 'trait_type': 'Top'}, {'value': 'Track Pants', 'trait_type': 'Bottoms'}, {'value': 'Red', 'trait_type': 'Puck'}, {'value': 'Wide Open', 'trait_type': 'Eyes'}, {'value': 'Hipster Glasses', 'trait_type': 'Eye Accessory'}, {'value': 'Braces', 'trait_type': 'Mouth'}, {'value': 'Fur Wrap', 'trait_type': 'Neck Accessory'}, {'value': 'Halo', 'trait_type': 'Hat'}, {'value': 'Diamond Stud', 'trait_type': 'Ear Accessory'}, {'trait_type': 'Hair', 'value': 'None'}]",https://incepthink.mypinata.cloud/ipfs/QmfC9QGMaZMyFQJAgEvDWoTm6pZtsa2oZRdppWrUGzRr9V,954.5981696865373,39,3
Bobblehead #7969,"[{'value': 'Alien', 'trait_type': 'Race'}, {'value': 'Fluorescent Orange', 'trait_type': 'Background'}, {'value': 'Hook', 'trait_type': 'Left Item'}, {'value': 'Triple Spatula', 'trait_type': 'Right Item'}, {'value': 'Longsleeve Shirt', 'trait_type': 'Top'}, {'value': 'Dress Pants', 'trait_type': 'Bottoms'}, {'value': 'Yellow', 'trait_type': 'Puck'}, {'value': 'Hooded', 'trait_type': 'Eyes'}, {'value': 'Hipster Glasses', 'trait_type': 'Eye Accessory'}, {'value': 'Smile', 'trait_type': 'Mouth'}, {'value': 'Tie', 'trait_type': 'Neck Accessory'}, {'trait_type': 'Hat', 'value': 'None'}, {'trait_type': 'Ear Accessory', 'value': 'None'}, {'trait_type': 'Hair', 'value': 'None'}]",https://incepthink.mypinata.cloud/ipfs/QmUyqbUsFtFMu6eamHCBm91J8bVQ7zcWBcirkJ5PPhVH2x,954.0145276140696,7969,4
Bobblehead #40,"[{'value': 'Blue Bear', 'trait_type': 'Race'}, {'value': 'Sky Blue', 'trait_type': 'Background'}, {'value': 'White Flag', 'trait_type': 'Left Item'}, {'value': 'Pocket Watch', 'trait_type': 'Right Item'}, {'value': 'Hawaiian Shirt', 'trait_type': 'Top'}, {'value': 'Dress Pants', 'trait_type': 'Bottoms'}, {'value': 'Radioactive Waste', 'trait_type': 'Puck'}, {'value': 'Wide Open', 'trait_type': 'Eyes'}, {'value': '', 'trait_type': 'Eye Accessory'}, {'value': 'Bubblegum', 'trait_type': 'Mouth'}, {'value': 'Silver Hoop', 'trait_type': 'Ear Accessory'}, {'trait_type': 'Neck Accessory', 'value': 'None'}, {'trait_type': 'Hat', 'value': 'None'}, {'trait_type': 'Hair', 'value': 'None'}]",https://incepthink.mypinata.cloud/ipfs/QmUwYfGcpJpfZKWer2MtqB1wskF6xhRmNQmWy5SAjnYfMV,945.7217106400533,40,5
Bobblehead #5,"[{'value': 'Blue Human', 'trait_type': 'Race'}, {'value': 'Pastel Yellow', 'trait_type': 'Background'}, {'value': 'Surfboard', 'trait_type': 'Left Item'}, {'value': 'Astronaut Suit', 'trait_type': 'Top'}, {'value': 'Astronaut Suit', 'trait_type': 'Bottoms'}, {'value': 'Ice', 'trait_type': 'Puck'}, {'value': 'Closed', 'trait_type': 'Eyes'}, {'value': 'Third Eye', 'trait_type': 'Eye Accessory'}, {'value': 'Smile', 'trait_type': 'Mouth'}, {'value': 'Bowtie', 'trait_type': 'Neck Accessory'}, {'value': 'Tinfoil Hat', 'trait_type': 'Hat'}, {'value': 'Silver Hoop', 'trait_type': 'Ear Accessory'}, {'trait_type': 'Right Item', 'value': 'None'}, {'trait_type': 'Hair', 'value': 'None'}]",https://incepthink.mypinata.cloud/ipfs/QmWkgQSzgC2vvY9zpsHHPgsZWyY1jjxbPdpJT9TASbqYDL,821.0211227222343,5,6
Bobblehead #6,"[{'value': 'Blue Human', 'trait_type': 'Race'}, {'value': 'Fluorescent Orange', 'trait_type': 'Background'}, {'value': 'Pocket Watch', 'trait_type': 'Left Item'}, {'value': 'Toy Gun', 'trait_type': 'Right Item'}, {'value': 'Football Jersey', 'trait_type': 'Top'}, {'value': 'Shorts', 'trait_type': 'Bottoms'}, {'value': 'Ice', 'trait_type': 'Puck'}, {'value': 'Wide Open', 'trait_type': 'Eyes'}, {'value': '', 'trait_type': 'Eye Accessory'}, {'value': 'Smile', 'trait_type': 'Mouth'}, {'value': 'Halo', 'trait_type': 'Hat'}, {'value': 'Silver Hoop', 'trait_type': 'Ear Accessory'}, {'trait_type': 'Neck Accessory', 'value': 'None'}, {'trait_type': 'Hair', 'value': 'None'}]",https://incepthink.mypinata.cloud/ipfs/Qmbt31vBnwiiLKgZ1rF2BQPWKWnP5f9RGH7DEzyngmCdA8,692.5071227432574,6,7
Bobblehead #28,"[{'value': 'Blue Alien', 'trait_type': 'Race'}, {'value': 'Maroon', 'trait_type': 'Background'}, {'value': 'Telescope', 'trait_type': 'Left Item'}, {'value': 'Indestructable Phone', 'trait_type': 'Right Item'}, {'value': 'Track Suit Top', 'trait_type': 'Top'}, {'value': 'Jeans', 'trait_type': 'Bottoms'}, {'value': 'Green', 'trait_type': 'Puck'}, {'value': 'Bloodshot', 'trait_type': 'Eyes'}, {'value': 'Third Eye', 'trait_type': 'Eye Accessory'}, {'value': 'Toothy Smirk', 'trait_type': 'Mouth'}, {'value': 'Halo', 'trait_type': 'Hat'}, {'value': 'Gold Hoop', 'trait_type': 'Ear Accessory'}, {'trait_type': 'Neck Accessory', 'value': 'None'}, {'trait_type': 'Hair', 'value': 'None'}]",https://incepthink.mypinata.cloud/ipfs/QmbLEGLL1nAr27sUwF9LdMSGAQ4xZhq5KX3SeQJ8gEA4j9,683.5111399533143,28,8
Bobblehead #1,"[{'value': 'Blue Human', 'trait_type': 'Race'}, {'value': 'Fluorescent Orange', 'trait_type': 'Background'}, {'value': 'Potted Plant', 'trait_type': 'Left Item'}, {'value': 'Torch', 'trait_type': 'Right Item'}, {'value': 'Jacket', 'trait_type': 'Top'}, {'value': 'Jeans', 'trait_type': 'Bottoms'}, {'value': 'Powder Blue', 'trait_type': 'Puck'}, {'value': 'Wide Open', 'trait_type': 'Eyes'}, {'value': 'Eyepatch', 'trait_type': 'Eye Accessory'}, {'value': 'Braces', 'trait_type': 'Mouth'}, {'trait_type': 'Neck Accessory', 'value': 'None'}, {'trait_type': 'Hat', 'value': 'None'}, {'trait_type': 'Ear Accessory', 'value': 'None'}, {'trait_type': 'Hair', 'value': 'None'}]",https://incepthink.mypinata.cloud/ipfs/Qma3VezKaU3b3TLFgGyWQLf4QFGNn3VR9pBgHPadpwJ9wC,682.7936400877372,1,9
Bobblehead #2699,"[{'value': 'Human', 'trait_type': 'Race'}, {'value': 'Outer Space', 'trait_type': 'Background'}, {'value': 'Dog on a Leash', 'trait_type': 'Left Item'}, {'value': 'Torch', 'trait_type': 'Right Item'}, {'value': 'Jacket', 'trait_type': 'Top'}, {'value': 'Dress Pants', 'trait_type': 'Bottoms'}, {'value': 'Olympic Podium', 'trait_type': 'Puck'}, {'value': 'Cyclops', 'trait_type': 'Eyes'}, {'value': 'Third Eye', 'trait_type': 'Eye Accessory'}, {'value': 'Neutral', 'trait_type': 'Mouth'}, {'value': 'Bed Hair', 'trait_type': 'Hair'}, {'value': 'Silver Hoop', 'trait_type': 'Ear Accessory'}, {'trait_type': 'Neck Accessory', 'value': 'None'}, {'trait_type': 'Hat', 'value': 'None'}]",https://incepthink.mypinata.cloud/ipfs/QmQgvf3Qkzhnz24JF6Xdd43KFCyHoxHpQtST1qMmR9Eu7t,603.2687320061469,2699,10
