trait_type,value,multiplier,rarity
Character,Mummy,1,6.25
Character,Wolfie,1,6.666666666666667
Character,None,1,0.0
Character,Fred,1,8.333333333333334
Character,Bride,1,20.0
Character,Drac,1,5.0
Character,Frankie,1,3.125
Background,New Graveyard,1,33.333333333333336
Background,Checker Purple,1,50.0
Background,Castle Wall,1,7.6923076923076925
Background,Castle Interior,1,20.0
Background,Castle,1,9.090909090909092
Background,Skull Pattern 2,1,20.0
Background,"Leopard, Red",1,100.0
Background,Purple,1,50.0
Background,Skull Pattern 1,1,50.0
Background,Boom,1,100.0
Background,Dayglow Green,1,100.0
Background,Kubrick,1,100.0
Background,Pink,1,50.0
Background,Cosmic,1,33.333333333333336
Background,Checker Red,1,100.0
Background,Checker Blue,1,50.0
Background,Lynch,1,100.0
Background,None,1,0.0
Background,MM Pattern 1,1,50.0
Background,Dark Purple,1,100.0
Background,Pink Fire,1,50.0
Background,MM Pattern 2,1,50.0
Background,Checker Orange,1,50.0
Background,MM Pattern 3,1,50.0
Background,Lab,1,8.333333333333334
Background,Liquid Abstract,1,33.333333333333336
Background,Graveyard,1,9.090909090909092
Background,Red,1,100.0
Background,Binary,1,100.0
Background,Skull Pattern 4,1,50.0
Background,"Leopard, Pink",1,33.333333333333336
Skin,Mummy OG,1,16.666666666666668
Skin,Mummy Stripes,1,33.333333333333336
Skin,Bride Reg,1,50.0
Skin,Fred Blue,1,100.0
Skin,Fred Rainbow,1,100.0
Skin,Frankie Purple,1,50.0
Skin,Drac Blue,1,100.0
Skin,Mummy Tie Dye,1,100.0
Skin,Wolfie Checker,1,50.0
Skin,Bride Striped,1,100.0
Skin,Drac Gold,1,100.0
Skin,Wolfie Grape,1,100.0
Skin,Drac Green,1,100.0
Skin,Drac Reg,1,10.0
Skin,Frankie Yellow,1,50.0
Skin,Fred Reg,1,16.666666666666668
Skin,Drac Tie Dye,1,50.0
Skin,Frankie Swirl,1,50.0
Skin,Mummy Yellow,1,33.333333333333336
Skin,Fred Teal,1,100.0
Skin,Mummy Houndstooth ,1,33.333333333333336
Skin,Frankie Reg,1,5.882352941176471
Skin,Wolfie Leopard,1,100.0
Skin,Drac Yellow,1,33.333333333333336
Skin,None,1,0.0
Skin,Wolfie Reg,1,16.666666666666668
Skin,Frankie Blue,1,33.333333333333336
Skin,Drac Pink,1,100.0
Skin,Bride Blue,1,50.0
Skin,Drac Leopard,1,100.0
Skin,Wolfie Teal,1,100.0
Skin,Fred Purple,1,100.0
Skin,Frankie Teal,1,33.333333333333336
Skin,Fred Striped,1,50.0
Skin,Wolfie Teal Face,1,25.0
Skin,Frankie Rainbow,1,33.333333333333336
Top,"Jacket, Flannel, Blue",1,100.0
Top,"Shirt, Hawaiian",1,100.0
Top,"Jacket, Army, Midnight",1,50.0
Top,"Vest, Leather, Brown",1,100.0
Top,Wolfie OG Costume,1,100.0
Top,"Vest, Leather, Bandolier, Black",1,100.0
Top,"Tee, Skull, Pink",1,20.0
Top,"Shirt, Leopard",1,100.0
Top,"Jacket, Smoking",1,50.0
Top,"Jacket, Leather, Red",1,100.0
Top,"Jersey, Soccer 2",1,100.0
