trait_type,value,multiplier,rarity
Race,None,1,0
Race,Blue Bull,1,17.0
Race,Shiba,1,17.0
Race,Blue Alien,1,4.25
Race,Blue Bear,1,8.5
Race,Blue Human,1,5.666666666666667
Race,Human,1,5.666666666666667
Race,Cat,1,5.666666666666667
Background,None,1,0
Background,Purple,1,17.0
Background,Maroon,1,17.0
Background,Pastel Yellow,1,17.0
Background,Lime Green,1,17.0
Background,Lilac,1,17.0
Background,Red,1,17.0
Background,Swamp,1,8.5
Background,Sky Blue,1,8.5
Background,Dark Green,1,17.0
Background,Cold Pink,1,17.0
Background,Mountain View,1,17.0
Background,Fluorescent Orange,1,4.25
Left Item,None,1,0
Left Item,Indestructable Phone,1,17.0
Left Item,Dog on a Leash,1,8.5
Left Item,Telescope,1,17.0
Left Item,Trident,1,17.0
Left Item,Surfboard,1,8.5
Left Item,Triple Spatula,1,17.0
Left Item,Toy Gun,1,17.0
Left Item,White Flag,1,8.5
Left Item,Pocket Watch,1,8.5
Left Item,Sword,1,8.5
Left Item,Potted Plant,1,8.5
Right Item,Glass of Scotch,1,15.0
Right Item,None,1,8.5
Right Item,Indestructable Phone,1,15.0
Right Item,Dog on a Leash,1,5.0
Right Item,Telescope,1,15.0
Right Item,Fishing Rod,1,7.5
Right Item,Surfboard,1,15.0
Right Item,Triple Spatula,1,15.0
Right Item,Toy Gun,1,15.0
Right Item,Pocket Watch,1,15.0
Right Item,Sword,1,7.5
Right Item,Torch,1,15.0
Top,Suit,1,17.0
Top,None,1,0
Top,T-Shirt,1,8.5
Top,Football Jersey,1,8.5
Top,Track Suit Top,1,8.5
Top,Hawaiian Shirt,1,5.666666666666667
Top,Astronaut Suit,1,8.5
Top,Longsleeve Shirt,1,8.5
Top,Vest,1,17.0
Top,Jacket,1,8.5
Bottoms,None,1,0
Bottoms,Jeans,1,4.25
Bottoms,Camo Pants,1,17.0
Bottoms,Dress Pants,1,5.666666666666667
Bottoms,Astronaut Suit,1,8.5
Bottoms,Shorts,1,5.666666666666667
Bottoms,Cargo Pants,1,8.5
Bottoms,Track Pants,1,8.5
Puck,None,1,0
Puck,Orange,1,17.0
Puck,Yellow,1,8.5
Puck,Powder Blue,1,8.5
Puck,Black,1,17.0
Puck,Green,1,5.666666666666667
Puck,Red,1,17.0
Puck,Indigo,1,17.0
Puck,Ice,1,8.5
Puck,Gray,1,17.0
Puck,Tree Stump,1,17.0
Puck,Radioactive Waste,1,8.5
Eyes,None,1,0
Eyes,Closed,1,2.8333333333333335
Eyes,Hooded,1,8.5
Eyes,Wide Open,1,3.4
Eyes,Bloodshot,1,4.25
Eye Accessory,,1,1.8888888888888888
Eye Accessory,None,1,0
Eye Accessory,Eye Mask,1,17.0
Eye Accessory,Eyepatch,1,5.666666666666667
Eye Accessory,Hipster Glasses,1,8.5
Eye Accessory,Third Eye,1,8.5
Mouth,None,1,0
Mouth,Drooling,1,17.0
Mouth,Braces,1,5.666666666666667
Mouth,Neutral,1,17.0
Mouth,Tongue Out,1,17.0
Mouth,Bubblegum,1,4.25
Mouth,Smile,1,5.666666666666667
Mouth,Wide Open,1,5.666666666666667
Mouth,Toothy Smirk,1,17.0
Hat,None,1,4.25
Hat,Baseball Cap,1,6.5
Hat,Crown,1,13.0
Hat,Tinfoil Hat,1,6.5
Hat,Pirate Hat,1,13.0
Hat,Halo,1,4.333333333333333
Hat,Helicopter,1,13.0
Hat,Beanie,1,6.5
Hat,Trapper Hat,1,13.0
Ear Accessory,Silver Hoop,1,1.5714285714285714
Ear Accessory,None,1,2.8333333333333335
Ear Accessory,Gold Hoop,1,11.0
Ear Accessory,Diamond Stud,1,5.5
Ear Accessory,Silver Studs (Pair),1,11.0
Neck Accessory,None,1,1.8888888888888888
Neck Accessory,Tie,1,4.0
Neck Accessory,Bowtie,1,2.6666666666666665
Neck Accessory,Fur Wrap,1,2.6666666666666665
Hair,None,1,1.2142857142857142
Hair,Bed Hair,1,1.0
